Run,Size,Time_insert (nanoseconds),Time_getMax (nanoseconds),Time_deleteMax (nanoseconds) 
5235,8841746,214243100,100,300
5236,2180066,53004600,100,300
5237,3177082,77474100,0,400
5238,4365646,106110300,0,700
5239,1615871,39018800,0,300
5240,5143561,128616500,0,400
5241,1969408,47659600,100,200
5242,9960953,257158100,100,800
5243,6524802,159072100,0,500
5244,3060876,76250000,0,700
5245,8458791,205129900,0,700
5246,2314596,56163800,0,300
5247,6024992,146838600,0,500
5248,5355179,138351400,0,700
5249,3939047,99247700,0,400
5250,6262522,157316000,0,900
5251,8288117,202539400,100,800
5252,7437888,184473500,100,1100
5253,5215657,126139700,0,400
5254,2578432,62872900,0,400
5255,6676581,163916500,0,800
5256,2864407,72711800,0,700
5257,2004967,51373500,0,300
5258,9611586,237508700,0,1100
5259,1671336,41266100,0,500
5260,3052044,74449300,0,400
5261,3452158,84963400,0,400
5262,7733286,193259800,0,1000
5263,2530212,62009900,0,700
5264,7077331,172104800,0,800
5265,6525104,161991300,0,500
5266,7476017,196890600,100,800
5267,776910,19913400,0,300
5268,7718780,194375900,0,800
5269,1575772,38688300,0,600
5270,3464845,86317600,100,600
5271,3028790,77043400,0,800
5272,6178331,162826600,0,1000
5273,790671,21098600,100,200
5274,9316839,242058500,0,1200
5275,7536306,194127800,0,900
5276,187527,4784600,0,300
5277,8038686,200006000,0,600
5278,5480780,143245300,0,1300
5279,6832910,173983200,0,1300
5280,3366152,86735300,0,600
5281,4245020,107448000,100,500
5282,8947630,230614400,0,800
5283,3194041,81396700,0,400
5284,3057658,74238500,0,400
5285,4112054,103379800,0,300
5286,4235562,102861600,100,500
5287,1211521,29363200,0,300
5288,9977280,255360200,100,700
5289,1503702,37492500,0,200
5290,6765998,169677200,0,200
5291,5750433,149142600,100,1500
5292,5183102,132162100,0,1700
5293,2242391,57073400,0,700
5294,2626494,66816000,100,300
5295,105864,2701200,0,200
5296,4241198,111159500,100,800
5297,5825491,147672800,0,1000
5298,3975823,105666800,0,600
5299,4852970,126478300,100,1200
5300,6429856,165174900,0,800
5301,356802,9447100,0,300
5302,4817561,116776700,0,400
5303,5352897,135261700,0,400
5304,8629083,219057300,0,600
5305,411204,10545900,0,400
5306,5306241,141380500,100,700
5307,3272463,84385800,0,200
5308,4557482,121027600,100,800
5309,8680357,229368900,100,700
5310,6176034,158146400,0,500
5311,9948294,247000200,100,600
5312,7978457,203095900,100,900
5313,6218813,164430700,100,800
5314,6215603,163518500,0,700
5315,572484,14491300,0,500
5316,1043793,27196100,100,600
5317,4558835,113058700,0,800
5318,9034363,225290700,0,800
5319,6918491,171318900,0,800
5320,1338202,33359300,0,300
5321,9616995,236209000,0,500
5322,8489024,213139300,0,700
5323,3954811,99555500,0,400
5324,1362432,33050100,0,300
5325,9423244,243240500,0,900
5326,892517,21460500,100,200
5327,2357789,57136800,0,200
5328,7376175,179740200,0,800
5329,9102852,220353000,0,300
5330,4341069,107140300,0,600
5331,7724528,188221000,0,600
5332,8436962,204781600,0,600
5333,5902251,143243500,0,600
5334,237239,5721800,100,200
5335,9692096,234593600,0,600
5336,3077548,76629300,0,2300
5337,2195945,53271500,0,400
5338,8946943,216563900,0,900
5339,1666226,42612600,0,400
5340,1648614,40049000,0,400
5341,301667,7340800,0,200
5342,5007395,121785300,0,500
5343,6901496,168198500,0,500
5344,3232690,78330700,0,300
5345,5130851,127128000,0,600
5346,2010843,49801500,0,500
5347,3536001,85596500,0,400
5348,831295,20093100,0,300
5349,6420540,156249300,0,600
5350,332169,8052300,0,100
5351,3384425,81998500,100,500
5352,2086247,50518900,100,300
5353,9606135,236408200,0,500
5354,4211699,106803500,0,300
5355,9873998,240515700,0,800
5356,8289530,209346300,100,600
5357,1822922,44163400,0,300
5358,572740,13790300,100,100
5359,7214658,176000300,0,900
5360,40662,986200,0,200
5361,6617101,160193400,0,600
5362,3771877,95371600,100,600
5363,4075780,98664100,0,400
5364,986810,23928600,100,300
5365,8323609,216150700,0,800
5366,2236051,55575700,0,300
5367,9524904,246828000,0,1200
5368,6143333,156142200,0,600
5369,6616532,164652300,0,700
5370,2699826,65873100,0,400
5371,7125090,180972300,0,900
5372,2293550,55451600,0,300
5373,9593168,240989400,100,500
5374,8631759,222248500,0,700
5375,3916353,97271600,100,600
5376,7622000,192296600,0,700
5377,6972598,177140800,0,900
5378,7671594,195656900,100,400
5379,3574562,94611400,100,500
5380,7707800,194308300,0,1000
5381,1189379,28846900,0,200
5382,6558860,167306100,0,600
5383,4255973,106888500,100,800
5384,2415884,61370900,0,300
5385,5598822,143612600,100,300
5386,9552782,247479200,100,700
5387,8019575,200341300,0,200
5388,910935,22118900,0,300
5389,7500785,183826900,0,600
5390,3167621,76803700,0,600
5391,4927427,125527100,0,600
5392,2196287,55662400,0,1100
5393,2747619,68321600,0,300
5394,5582721,136645500,0,600
5395,3419917,87342300,0,600
5396,7253815,184033900,0,800
5397,2041685,50056300,0,300
5398,45185,1081700,0,100
5399,4257934,103020300,100,600
5400,4735785,115668700,0,400
5401,748896,18066500,0,200
5402,2060295,50186400,100,300
5403,300796,7262900,0,100
5404,3172398,77287600,0,400
5405,9862318,242476600,0,500
5406,298837,7456500,0,200
5407,4364421,105815100,0,500
5408,4049090,98896900,0,500
5409,9185831,226594000,0,500
5410,6698039,162384900,100,600
5411,956028,23121600,0,300
5412,2582989,62929400,0,500
5413,4108752,101587300,100,300
5414,8418473,208351600,0,600
5415,8667459,209916800,100,200
5416,344970,8457000,0,200
5417,7661935,186357800,0,500
5418,9949738,252281800,0,800
5419,3407149,87200800,0,300
5420,3014183,88110300,0,800
5421,3800682,107316200,0,700
5422,8224016,244201200,100,800
5423,9847733,245538800,100,600
5424,4468038,110007000,0,900
5425,1588843,40430700,0,600
5426,7985961,217039100,0,1100
5427,3898854,94840100,0,500
5428,5002416,128775300,0,300
5429,3841310,98666800,0,900
5430,4163913,103322800,0,500
5431,6326108,167909400,100,14400
5432,5308915,135509700,100,700
5433,1018908,25609100,100,300
5434,2919413,72550800,0,700
5435,3714865,91706900,100,600
5436,3552068,88431300,0,600
5437,8575523,210160800,0,300
5438,9501369,244596800,0,900
5439,2416314,63439900,0,700
5440,7797319,234110200,100,400
5441,7311044,187091600,100,900
5442,6626504,196014900,100,900
5443,5024428,146887300,0,500
5444,7832267,205219200,0,800
5445,5393784,134183100,100,300
5446,1674939,44373300,100,300
5447,5092595,128882400,0,1200
5448,8275551,204928900,0,600
5449,488520,11949400,100,200
5450,95315,2294000,0,200
5451,4532136,111894300,0,400
5452,6435165,156544200,0,500
5453,8097533,200764900,100,1100
5454,7007841,172723100,0,700
5455,1702338,41724100,0,300
5456,6308531,155271200,100,700
5457,5089693,128647200,100,300
5458,4817234,116784600,100,300
5459,3844738,93246200,0,300
5460,5845000,142963800,0,600
5461,4971121,120426500,100,400
5462,7570189,185558100,0,300
5463,4479360,108643400,0,500
5464,95696,2311300,100,200
5465,2331136,59274700,0,400
5466,1573852,39905800,0,900
5467,5190149,129921700,100,1400
5468,2485915,60458400,0,400
5469,4840385,119644000,0,500
5470,4821974,120433300,0,500
5471,279890,7096200,0,200
5472,2781879,69578000,0,500
5473,4084901,100770300,0,400
5474,5224126,126670900,0,500
5475,984467,24464800,0,200
5476,5639179,138577800,0,600
5477,8418734,215664400,0,800
5478,1906563,48262200,0,500
5479,1476455,37297600,0,300
