Run,Size,Time_insert (nanoseconds),Time_getMax (nanoseconds),Time_deleteMax (nanoseconds) 
4972,8293506,152339700,2076400,3045400
4973,4586737,84769300,1154900,1735200
4974,6613131,118433700,1892000,2386900
4975,1277742,21585400,233800,370300
4976,3677291,64906200,891200,1329200
4977,7093643,121551900,1831600,2669800
4978,4638784,85927200,1215100,1768500
4979,4593010,84572600,1291900,1761600
4980,4624259,85099700,1329900,1802100
4981,8214320,150490600,2109500,3280100
4982,3403754,62929900,1029400,1305500
4983,1639778,30344900,480200,610700
4984,1100169,19782200,266800,368000
4985,8036671,149044800,2211500,3119500
4986,9451109,161143900,2248800,3531500
4987,6479181,118473700,1582000,2451200
4988,5112921,91210900,1257600,1910800
4989,1262693,24899300,315800,438700
4990,8876613,158839900,2161700,3416200
4991,9473749,162832800,2228900,3328900
4992,2075922,35523700,535800,784600
4993,1373130,24200500,341800,463400
4994,3554983,67310000,889500,1360900
4995,7960796,142298800,1890600,2897100
4996,1377492,23942300,315200,443600
4997,5049137,91362800,1292100,1789200
4998,7876944,140751400,1918700,2927100
4999,2147276,37748100,513400,750100
5000,4040367,69017000,974400,1414200
5001,1834188,30887900,323700,506100
5002,7714041,130640800,1852900,2732600
5003,7828969,141539800,1948400,2856000
5004,7063419,122751100,1706200,2618500
5005,5125878,86722200,1200200,2056800
5006,1956016,35472600,542500,692400
5007,4367202,76013300,1061600,1580500
5008,1863272,33340800,456900,671900
5009,4288450,75011100,1044100,1581700
5010,4817187,89055800,1278100,1816800
5011,8017773,141238900,2059800,2858200
5012,8840013,159327700,2153900,3436400
5013,5200203,91488100,1267000,1929900
5014,8164524,145253700,2000800,3031100
5015,7777620,140064000,1983800,3031700
5016,38212,671700,5600,10700
5017,6846454,122352200,1665500,2421400
5018,5521049,97335700,1337700,2027700
5019,456623,8041300,78400,133100
5020,9835566,185566700,2491700,3775900
5021,2039308,35942800,509500,735500
5022,7210993,129980600,1775100,2654600
5023,6559569,111400900,1565700,2305600
5024,8014397,137499200,1905000,2940700
5025,8008686,136595500,1892100,2821300
5026,7541383,130702400,2039100,2694900
5027,9145052,163014300,2254800,3386600
5028,3810701,65370500,877100,1320300
5029,1011003,18568000,257300,334600
5030,3386007,60100400,845500,1243000
5031,1547415,27266700,350000,499600
5032,2539439,47769900,1122200,1047700
5033,4878463,90262700,1163800,1831100
5034,7340995,126844600,1760200,2608600
5035,1219253,20806400,221400,340100
5036,9375900,160552600,2409000,3913000
5037,163287,2742500,22400,45300
5038,1296465,24402700,320800,447300
5039,9836962,170671500,2332000,3926800
5040,4315405,72887700,1039700,1536100
5041,1012071,17084000,162100,262700
5042,3064340,53612000,720300,1047600
5043,4473329,75869200,1052200,1573800
5044,6805034,120739300,2193300,3756700
5045,7051489,120341900,1686700,2594700
5046,3778427,68410200,939800,1430200
5047,8991442,159138000,2139300,3193600
5048,882830,14916600,123500,229600
5049,2317642,40093400,505200,735300
5050,8177452,140041500,1962300,2904700
5051,1668739,28142600,310600,494400
5052,5787368,98813000,1376400,2130600
5053,6689282,114955000,1595800,2365800
5054,986449,16708700,156300,267700
5055,5166042,88399100,1672800,1816900
5056,3218914,55566500,762700,1117200
5057,2331172,41059300,573100,823200
5058,3969550,70346200,1041700,1579200
5059,5055817,89228700,1199400,1839800
5060,5354075,92332400,1326200,1916700
5061,6375949,119089100,1584900,2456600
5062,4386726,76414900,1042500,1527900
5063,797519,13503100,130500,221600
5064,2601208,47001000,831900,984200
5065,6177026,104145600,1487800,2174100
5066,2689353,46771800,593200,887900
5067,3307955,56387700,778700,1132000
5068,6277619,105959000,1499900,2224700
5069,3419667,57626000,883000,1245700
5070,567549,10302800,103500,154500
5071,7743481,130951000,1828800,2731500
5072,3850519,67397000,925800,1321300
5073,3481928,58595200,807200,1195000
5074,9963801,177427400,2482600,3991400
5075,8439850,145222300,2204500,2988700
5076,9509596,164341800,2233500,3322200
5077,88655,1581900,14900,25200
5078,3703423,66784800,1216000,1715200
5079,1750301,31240200,405700,659300
5080,8544302,151611700,2076800,3800400
5081,3899339,66716000,931100,1353900
5082,759934,12746300,112900,197800
5083,7907441,134095900,2043500,2804300
5084,4316401,75263400,1025400,1516200
5085,4564549,79341700,1125700,1614800
5086,1987088,33505100,389100,588900
5087,533492,9064100,86200,149600
5088,6567514,113270800,1643000,2416800
5089,7074662,122586800,2251300,2859400
5090,632879,10653600,122300,164600
5091,4620189,79437500,1104000,1611400
5092,7085469,123466400,1756000,2500200
5093,828715,14145100,136900,228500
5094,2502496,42908900,568800,797400
5095,4775891,82342100,1268400,1753700
5096,733309,13632100,180800,235300
5097,8197454,143702800,1983300,3018600
5098,2705462,46167700,643600,933000
5099,1498082,25241700,257400,426400
5100,3032288,51407800,714000,1054900
5101,7794575,135962100,1841900,2766500
5102,2233103,37748500,514600,738300
5103,9260844,160783500,2225600,3388200
5104,195096,3292800,26100,51000
5105,7505721,133704000,1854300,2849100
5106,8537794,156602000,2060700,3193800
5107,2054054,35431400,551600,739700
5108,4733151,84733600,1106000,1685100
5109,5402876,96025700,1330600,2022200
5110,8579300,151882200,2060100,3163400
5111,4811886,81558300,1235200,1706900
5112,4659073,78690800,1111200,1652500
5113,9898029,175433700,2508500,3791600
5114,1754351,29754500,294400,472900
5115,6579851,116469100,1671000,2499500
5116,2593409,45669500,636200,931000
5117,5315974,95944900,1294300,1962700
5118,924453,15574600,143100,251800
5119,4094719,69441900,1088700,1546900
5120,4860079,86393700,1270900,1813600
5121,2415112,40887500,561100,776000
5122,6236809,106985800,1507400,2297500
5123,5037801,86600100,1236200,1833900
5124,5555117,93845400,1365100,1965600
5125,9616345,163111400,2283300,3499600
5126,9718581,165527900,2284200,3422200
5127,865548,14610900,143300,228100
5128,3077005,54971600,770400,1142100
5129,2387841,40614400,528100,759200
5130,2636895,45025500,541700,1001200
5131,8749188,147386500,2075200,3100000
5132,5195107,87729600,1240600,1829000
5133,8189564,141599500,2232500,3064100
5134,4516438,77192600,1110100,1568900
5135,437435,7456300,84400,113700
5136,9899398,172111800,2370600,3648600
5137,5373646,100469200,1526500,2383400
5138,810546,14318600,152000,242300
5139,3191973,58086200,918400,1219900
5140,784382,13861500,191900,260300
5141,6271498,111313100,1587900,2319300
5142,242368,4494000,51200,67100
5143,8776261,158232200,2707900,3328700
5144,247398,4403800,38000,67800
5145,5742439,101494500,1426300,2149600
5146,1635612,29153400,405400,559200
5147,5802656,102879800,1445400,2134700
5148,8490844,150507800,2072900,3140000
5149,9677123,168640200,2477500,3743500
5150,7148051,128407000,1738500,2737900
5151,3846820,67840600,950800,1406700
5152,2867322,51781200,804400,1149700
5153,942783,16712700,268000,322500
5154,2955758,52178900,732500,1081000
5155,1339669,23592000,324900,447200
5156,6301656,106760400,1493900,2257500
5157,1477113,26631800,380600,502300
5158,7518544,131533400,2002400,2887200
5159,8983324,164636100,2155000,3304000
5160,9626845,168646100,2351200,3435100
5161,6625326,116411400,1603400,2416400
5162,8059169,146667900,2115900,3046000
5163,7944662,148531500,1984300,2982600
5164,6720018,113469500,1998500,2381200
5165,3244823,55528400,841200,1232200
5166,9051588,155580500,2144400,3278900
5167,7151270,122227600,1702100,2532900
5168,6136229,107904100,1599600,2172400
5169,4687406,79834900,1121300,1651000
5170,415945,7161800,89000,124200
5171,8674277,146821000,2055900,3165000
5172,4821662,83924100,1161600,1700900
5173,8751676,148792400,2058900,3095500
5174,7195820,123371900,1700300,2654900
5175,626153,10575700,86900,163200
5176,8939620,154063400,2131200,3176600
