Run,Size,Time_insert (nanoseconds)
2307,4705927,2688600
2308,3507393,2095300
2309,5971862,3149600
2310,6492955,3493200
2311,3383946,1858500
2312,7578026,4867000
2313,5119711,2492800
2314,822882,222200
2315,8497844,4080800
2316,609086,169200
2317,6262065,3013000
2318,8113616,5804000
2319,9119117,4566000
2320,241816,126100
2321,5995864,5917300
2322,1342529,654900
2323,2190946,1443100
2324,3983997,1934800
2325,8066592,4101100
2326,9181597,6637800
2327,5610311,2862400
2328,5972622,3022200
2329,9635761,5680500
2330,5641158,2809700
2331,4510388,2602400
2332,5288538,2971700
2333,2570114,1165100
2334,6647421,4318100
2335,233670,62400
2336,2309030,1087800
2337,5839957,2947200
2338,8964958,5126200
2339,4422300,2155000
2340,9131892,5627900
2341,1804814,702600
2342,7608996,4147700
2343,9100722,4514400
2344,854871,372000
2345,6716086,4830600
2346,2056117,1086200
2347,2027192,822100
2348,5731290,2879800
2349,5754492,2903500
2350,5015963,2760200
2351,4438892,2264200
2352,6409213,3240000
2353,2137710,1494300
2354,1044268,364300
2355,4750277,2977300
2356,1476620,1681300
2357,6381007,4097800
2358,4319963,2320200
2359,1497754,879400
2360,8835656,4520300
2361,8046135,4138000
2362,642042,257000
2363,450114,229900
2364,950359,400200
2365,6364912,3499000
2366,5789375,3072400
2367,3498659,1821800
2368,2752814,1519700
2369,2876600,2099800
2370,5933058,4817000
2371,290005,240300
2372,7760091,4086000
2373,132746,32700
2374,7362117,5682200
2375,7385284,4035400
2376,4197423,2153300
2377,2417529,1174600
2378,1415993,505900
2379,6384879,3253200
2380,6414282,3302700
2381,4698955,2261800
2382,6489782,3946600
2383,8583022,4444400
2384,5918901,3459000
2385,3253074,2047100
2386,9480294,7663700
2387,1012501,670200
2388,1916840,1440800
2389,2688972,2486600
2390,9283246,7014200
2391,6489329,4386400
2392,6154186,3523700
2393,6065728,3124400
2394,465468,202900
2395,5190214,2654100
2396,878999,376800
2397,7536289,5177400
2398,7013659,5216200
2399,1232827,461400
2400,4270061,2051700
2401,1515829,807100
2402,2607581,1567900
2403,2595510,1533800
2404,5250916,3431400
2405,898743,259800
2406,1456435,567500
2407,3688429,1799400
2408,518357,174400
2409,3170004,2238800
2410,1878352,997700
2411,6145791,2955500
2412,4053636,2436400
2413,61222,5300
2414,6662095,3197600
2415,4513940,2182400
2416,7912707,6006300
2417,3933992,2014600
2418,3733129,1888900
2419,3803698,2073700
2420,8657251,4311600
2421,5127420,2662500
2422,3236263,2687900
2423,3477217,1995300
2424,9960027,5612000
2425,4929699,2405900
2426,421191,152800
2427,2348540,1064200
2428,5224898,2514600
2429,2808602,1378100
2430,4738769,2404600
2431,7088750,3604000
2432,6360579,3435300
2433,8128200,4052100
2434,2940974,1456100
2435,3601795,2055600
2436,5718797,3073400
2437,7324046,3728600
2438,5861429,3419800
2439,5288711,2901800
2440,4309757,2404600
2441,6331903,3291100
2442,7383952,4130500
2443,161120,31700
2444,7598645,4257700
2445,6762009,3654200
2446,8720972,6005800
2447,5010310,2843900
2448,235054,60000
2449,4549586,2531100
2450,7956515,4307100
2451,4759331,2310000
2452,3326627,2727800
2453,3158854,2111100
2454,780285,309400
2455,4304697,2055200
2456,4913063,3069500
2457,5852883,3532400
2458,242537,73300
2459,5387220,3221400
2460,7995008,4281800
2461,6222292,3318200
2462,1159457,679700
2463,2347824,1194000
2464,6183646,3164600
2465,5722160,3147700
2466,2197078,1104700
2467,2423459,1094000
2468,3751616,2155100
2469,749666,265900
2470,6123140,3155300
2471,7293678,3680400
2472,5378765,2658200
2473,2684953,1542800
2474,2099485,955200
2475,8004361,4076000
2476,2927887,1661600
2477,217688,51500
2478,6701617,3355000
2479,6810056,3670600
2480,4794581,2752800
2481,8810544,4500400
2482,1951134,745200
2483,8286074,4294900
2484,4301836,2198200
2485,1210499,479200
2486,2633667,1239100
2487,7581729,4375000
2488,3669499,2899700
2489,7089679,3733300
2490,3278683,1772100
2491,4153667,2007600
2492,9591063,4613300
2493,9186563,4457300
2494,6574085,3413300
2495,2174362,977300
2496,5169079,2508500
2497,8570323,4339800
2498,9305987,4432700
2499,3374819,1694000
2500,3069173,1515700
2501,720067,259700
2502,7118340,3477900
2503,5281952,2519000
2504,5063738,2753100
2505,3737357,1797800
2506,3535816,2991400
2507,576734,213300
2508,6614778,3644400
2509,3244092,1617700
2510,595616,181600
2511,7184700,3680700
2512,2853284,1402500
2513,8627139,4325300
2514,6603124,3240200
2515,6247759,3119900
2516,2372495,1168600
2517,7662722,3675800
2518,2773612,1342100
2519,9360493,4962100
2520,5366036,2589200
2521,5517611,3007200
2522,7255760,3860100
2523,2165861,1004200
2524,4695200,2396900
2525,8282851,4190900
2526,7701924,3848100
2527,8601999,4591400
2528,6910367,3909400
2529,8293045,4011400
2530,5987864,3133500
2531,8516665,3699400
2532,2248868,965500
2533,2074484,954000
2534,9073861,4346800
2535,4214231,2035900
2536,6273332,4561400
2537,1354669,582700
2538,4477591,2294900
2539,9441755,5097600
2540,6397613,3081900
2541,8586148,4346900
2542,9434344,5327000
2543,9020395,4391400
2544,4949057,2640100
2545,1569187,996700
2546,8253865,4358100
2547,9666767,5020500
2548,6184269,3191600
2549,5683523,2891400
2550,2065636,908600
2551,6529309,3307500
2552,9945824,4923300
2553,4783042,2400300
2554,5418870,2741300
2555,9847004,6264500
2556,6769443,3397100
2557,2634980,1513700
2558,9019399,4313600
2559,2540140,1287700
2560,5069774,2727700
2561,4124257,2052800
2562,4975506,2496100
2563,3955381,1910600
2564,1956302,788700
2565,8579643,4461500
2566,6882773,3448500
2567,3067948,1547100
2568,261777,74400
2569,5335744,2780000
2570,8800826,4351400
2571,3715464,2213500
2572,7337979,3698300
2573,3846257,2186700
2574,6306671,3477600
2575,7597388,4013100
2576,3843309,1983700
2577,7845809,4208800
2578,5622330,2832700
2579,1896576,987600
2580,7503950,4072900
2581,8902836,4580800
2582,1414458,575800
2583,4002948,1951300
2584,9354884,4948600
2585,4034485,2006700
2586,9613237,4695100
2587,5058102,2478200
2588,458280,131600
2589,1124645,364600
2590,9103187,4543700
2591,7910697,3863500
2592,5853401,3089700
2593,894504,334500
2594,3998552,2110600
2595,8299087,4295000
2596,4330270,2100000
2597,802435,235800
2598,3735755,2023400
2599,4582308,2363800
2600,1579155,675600
2601,8883797,4776100
2602,6154925,2986300
2603,8589728,4865700
2604,3151530,2741300
2605,2728237,1583700
2606,7439293,4151300
2607,7906895,4603300
2608,6081687,2973900
2609,567763,264800
2610,792681,372600
2611,741243,271700
2612,3976997,1975800
2613,5537965,3353400
2614,1453312,595100
2615,7765906,4284800
2616,4305023,2283100
2617,4110890,2291100
2618,2432832,1339400
2619,150592,34500
2620,4119419,2088600
2621,8680837,4619600
2622,416556,111200
2623,7202809,3470500
2624,1609583,622500
2625,2775752,1261800
2626,2443496,1311100
2627,6033300,2994200
2628,8466395,4089400
2629,2778166,1344000
2630,3949735,1906900
2631,4436457,2173500
2632,5967529,3059300
2633,7838278,3944400
2634,3918065,1765900
2635,8378332,4159300
2636,9525862,4877700
2637,1180807,453900
2638,5812673,3776600
2639,5656294,3949300
2640,7579883,4014400
2641,1159994,1033700
2642,7169622,4218800
2643,4880373,3775500
2644,3412523,1720400
2645,3169909,1591000
2646,3992671,2147200
2647,2582398,1327900
2648,4334934,2105800
2649,8857903,4634600
2650,9352230,5373800
2651,6316595,3450000
2652,1932700,872900
2653,5420540,2991100
2654,7548146,4050400
2655,9061412,4688100
2656,5711196,3075200
2657,1005004,384900
2658,8825505,4426600
2659,7891776,4611500
2660,6661014,3458400
2661,9097091,7437700
2662,8324294,5491100
2663,491711,256000
2664,6634987,3701500
2665,940976,502600
2666,6052535,3283200
2667,601369,220000
2668,8592695,4585500
2669,6582096,3510300
2670,7040161,3986000
2671,7407602,3709400
2672,325324,82000
2673,5175176,2594700
2674,8862483,4429500
2675,8435038,4604400
2676,4493763,2158800
2677,5740899,2909000
2678,6706298,4357000
2679,5013224,2610000
2680,1936113,787500
2681,3243429,2262200
2682,4747200,2278200
2683,7418436,4270800
2684,5689461,2960600
2685,8229716,4153600
2686,4111128,2173200
2687,3293694,1607200
2688,5069110,2501200
2689,4155843,1987800
2690,6167575,3792200
2691,8792134,4814300
2692,4344964,2389800
2693,4314994,2130400
2694,9754574,4921100
2695,8481818,4084000
2696,5273367,2598900
2697,5346840,2593800
2698,8569750,4773400
2699,7873917,4005700
2700,9131924,5221200
2701,340536,178300
2702,347502,108500
2703,7583468,3794100
2704,459381,214300
2705,6068595,3030600
2706,2161472,939800
2707,652105,226200
2708,2602140,1259200
2709,4160512,2431100
2710,4107918,2183500
2711,1031082,400700
2712,9045629,5054800
2713,5862783,2982500
2714,2937159,1826400
2715,1595070,921900
2716,2409391,1495200
2717,7714743,4724100
2718,2841616,1506300
2719,6422097,3629700
2720,9336950,5151700
2721,963424,441200
2722,8769685,5665100
2723,4225941,2169200
2724,5832857,2961500
2725,8257110,6684500
2726,5350577,3121200
2727,4755802,3216000
2728,4467486,2727700
2729,8118004,5605500
2730,6794572,3361700
2731,6392235,3107800
2732,3932316,2101400
2733,2933636,1463000
2734,2692646,1688700
2735,7114160,3515200
2736,3850576,2154500
2737,1525409,571600
2738,593865,168100
2739,5805650,2897500
2740,1792090,667800
2741,5851626,3233200
2742,6899583,3418400
2743,8871270,4464500
2744,6252821,3631900
