Run,Size,Time_insert (nanoseconds)
3378,6449298,62205900
3379,9371086,93487600
3380,4397018,40972500
3381,9809223,96100900
3382,2407741,23905300
3383,5478004,58426700
3384,2630358,27609700
3385,1318610,13256100
3386,5710034,53085800
3387,4431996,42925900
3388,7499245,69715700
3389,3425567,32884300
3390,3572103,33281900
3391,5338679,56680600
3392,649548,5988900
3393,7557249,73964100
3394,5626753,62491700
3395,9814801,97444500
3396,4568298,47373300
3397,7708810,74406200
3398,4831543,49069600
3399,1505744,15306800
3400,2030252,19748300
3401,1862923,21179000
3402,2671246,25029000
3403,4152165,42979400
3404,483230,4516200
3405,8279800,80040800
3406,2511352,24317500
3407,9254826,92019100
3408,613954,6008800
3409,9779114,97700700
3410,2170422,23331900
3411,6108116,59185800
3412,4775771,44406600
3413,8564586,86465400
3414,2840958,30975000
3415,2133220,22032500
3416,1827005,21232000
3417,3728585,46455400
3418,9532343,94923200
3419,8700841,94813500
3420,8002329,90844700
3421,8315039,112270100
3422,8324942,79733900
3423,6610058,66708100
3424,3006050,32797000
3425,3186786,29814400
3426,1569133,16095200
3427,5575718,55638600
3428,6098125,59400900
3429,6267631,62157200
3430,6232791,62237700
3431,2618453,24553600
3432,7802629,76948600
3433,3896951,38016800
3434,2866044,28625800
3435,8020249,74891700
3436,9954870,100371500
3437,9255687,89287800
3438,3736930,35143700
3439,1342844,13288800
3440,9497000,109154400
3441,7931909,79055400
3442,9948429,96640900
3443,8948919,85885400
3444,9304309,87395000
3445,147170,1338900
3446,2573182,23959300
3447,2822222,29043300
3448,171124,1630500
3449,9608419,93395700
3450,7092817,71407000
3451,3003791,29355600
3452,3041588,30192600
3453,5086412,62012900
3454,7829925,84244200
3455,7466980,84163700
3456,2281418,24126000
3457,7004608,78597100
3458,4314992,40369100
3459,3919329,64437300
3460,3932647,40870000
3461,7584669,74164100
3462,8789888,91365700
3463,1230675,12047600
3464,428446,4377700
3465,2884010,29102400
3466,9492951,105533800
3467,8688787,87197500
3468,2352064,23113000
3469,1613591,15221600
3470,4794020,47936100
3471,5056214,53877600
3472,409098,4397300
3473,9306847,86746800
3474,2483416,23952500
3475,1539931,16404200
3476,1556475,14935000
3477,5355807,53180900
3478,2979969,28081100
3479,7777241,82872100
3480,8835476,87519500
3481,5693359,57256600
3482,4305311,41190600
3483,7761371,77963800
3484,4819898,49074100
3485,7674405,73253600
3486,4267952,44233300
3487,4533905,45565900
3488,2356829,24896100
3489,810244,10030200
3490,5218971,49249000
3491,1506899,15307600
3492,4700796,44147800
3493,5121657,60797400
3494,8588777,83020900
3495,9387532,88579400
3496,7787700,75138900
3497,5353723,50609200
3498,1527498,18603900
3499,6433699,59994600
3500,1807625,16816500
3501,6203713,67714100
3502,7738774,73796800
3503,4402999,48293100
3504,7479553,72592300
3505,9507585,89446100
3506,1498671,17289800
3507,7698453,72229900
3508,6395073,64534300
3509,8622427,80442500
3510,7069993,68617600
3511,8216221,84437500
3512,2691641,24508800
3513,5821584,62360200
3514,2751128,27403000
3515,9890207,103303200
3516,2855787,31809100
3517,9143787,94569800
3518,9938621,96518800
3519,1062009,11665100
3520,7314153,68636600
3521,5955469,63960200
3522,9601157,98882500
3523,6520977,59785900
3524,6408828,59431600
3525,6004225,54070700
3526,424276,3694300
3527,2164109,19104800
3528,1090333,10142100
3529,2766856,24491300
3530,4101044,36482900
3531,5371599,51098800
3532,135679,1237500
3533,8722574,81902200
3534,1013588,10349600
3535,5269962,50210800
3536,3545419,32006500
